,title,price,MRP,ratings,total_ratings
0,"New World SUP Handheld Game Console,Classic Retro Video Gaming Player Colorful LCD Screen USB Rechargeable Portable Game Console with 400 in 1 Classic Old Games Best Toy Gift for Kids",749,₹849,3.2,1288
1,Razer DeathAdder Essential White Edition - 6400 DPI Ergonomic Wired Gaming Mouse - RZ01-03850200-R3M1,"1,499","₹4,499",4.4,23252
2,"Inefable® Pubg Anti-Slip Thumb Sleeve, Increase Your Gaming Score Slip-Proof Sweat-Proof Professional Touch Screen Thumbs Finger Sleeve for Pubg Mobile Phone Game Gaming Gloves Multi Colour (2 Pair)",100,₹399,3.5,803
3,"ASUS TUF Gaming F15, 15.6""(39.62 cms) FHD 144Hz, Intel Core i7-11800H 11th Gen, 4GB NVIDIA GeForce RTX 3050 Ti, Gaming Laptop (16GB/1TB SSD/Win 11/MSO/90WHrs Battery/Black/2.30 Kg), FX506HE-HN385WS","75,990","₹1,04,990",4.4,180
4,"Logitech G304 Lightspeed Wireless Gaming Mouse, Hero Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, Compatible with PC/Mac - White","3,095","₹3,735",4.5,6285
5,"Razer BlackShark V2 X Wired Gaming On Ear Headset - Black|7.1 Surround Sound-50mm Drivers-Memory Foam Cushion-for PC,PS4,PS5,Switch,Xbox One,Xbox Series X|S,Mobile-3.5mm Audio Jack-RZ04-03240100-R3M1","3,999","₹7,999",4.3,495
6,"Logitech G502 Hero High Performance Wired Gaming Mouse, Hero 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC/Mac - Black","4,195","₹5,495",4.5,49341
7,"ASUS [SmartChoice] TUF Gaming Laptop F15, Intel Core i5-11400H 11th Gen, 15.6"" (39.62 cm) FHD 144Hz, (16GB/512GB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.30 kg), FX506HF-HN025W","57,990","₹80,990",3.9,192
8,Razer BlackShark V2 X USB Wired Esports Gaming Headset: 7.1 Surround Sound - 50mm Drivers - 240g Lightweight Build - Noise Cancelling Mic - Hybrid Memory Foam Cushions - Black-RZ04-04570100-R3M1,"4,299","₹8,999",4.2,120
9,"Logitech G304 Lightspeed Wireless Gaming Mouse, Hero Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, Compatible with PC/Mac - Black","2,995","₹3,795",4.5,6285
10,"Cosmic Byte Firestorm RGB Wired Gaming Mouse, 67 Grams, 12400DPI, 1000Hz Polling, Pixart 3327 Sensor, 10M Switches, Paracord Cable, Software Support Upgraded PTFE Feet (White)",999,"₹1,499",4.4,9
11,"Logitech G402 Hyperion Fury USB Wired Gaming Mouse, 4,000 DPI, Lightweight, 8 Programmable Buttons, Compatible for PC/Mac - Black","2,469","₹2,895",4.6,11590
12,"Tukzer RGB Gaming Mouse Pad with 4 USB HUB, Large Extended Soft Mouse Pad, LED Glowing Backlight 13 Lighting Modes| for Computer Laptop Keyboard Mousepad Desk Mat| (795 x 298 x 3.45mm, Astro Planet)","1,599","₹3,299",4.4,1308
13,"PowerA Spectra Infinity Enhanced Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11 with Vivid LED Lighting, Black (Officially Licensed)","2,999","₹5,999",4.2,19609
14,"HyperX Cloud Stinger 2 Greatness Refined, Lightweight Wired Over Ear Headset with mic, Swivel-to-Mute Function, 50mm Drivers, PC Compatible - Black (519T1AA)","2,899","₹6,097",4.0,1243
15,Razer DeathAdder Essential Wired Gaming Mouse I Single-Color Green Lighting I 6400DPI Optical Sensor- Black - RZ01-03850100-R3M1,"1,499","₹4,400",4.4,23252
