,1. open,2. high,3. low,4. close,5. volume
2024-01-30 19:55:00,406.5100,407.6500,404.6590,407.2600,50684
2024-01-30 19:50:00,406.9000,407.2700,406.1000,406.4800,17100
2024-01-30 19:45:00,406.1000,407.2000,406.0000,406.8750,11365
2024-01-30 19:40:00,405.6700,406.1000,405.6000,406.1000,8929
2024-01-30 19:35:00,405.5000,406.4000,405.2600,405.7000,12831
2024-01-30 19:30:00,405.6300,405.9300,405.0000,405.3900,15472
2024-01-30 19:25:00,405.8700,406.0000,405.5500,405.6000,7570
2024-01-30 19:20:00,405.9000,406.6400,405.5000,405.7500,9698
2024-01-30 19:15:00,406.9800,407.0500,405.7000,405.9900,11188
2024-01-30 19:10:00,405.9600,407.2000,405.7000,407.0800,8145
2024-01-30 19:05:00,405.3500,406.2500,405.1200,406.0000,11623
2024-01-30 19:00:00,405.5000,406.4000,405.1200,405.6100,13528
2024-01-30 18:55:00,406.4100,406.8000,405.1000,405.3400,15766
2024-01-30 18:50:00,407.2190,407.2200,406.1000,406.4950,12128
2024-01-30 18:45:00,407.2300,408.5000,407.1000,407.1000,45756
2024-01-30 18:40:00,405.2400,407.8500,405.0400,407.2110,51203
2024-01-30 18:35:00,404.8400,405.2500,404.2200,405.2500,14731
2024-01-30 18:30:00,404.6800,405.2500,404.1200,404.9400,35694
2024-01-30 18:25:00,405.6800,406.9400,404.3000,404.3000,86255
2024-01-30 18:20:00,408.3400,408.5300,405.1200,405.8500,75658
2024-01-30 18:15:00,408.6800,409.0000,408.0000,408.5000,50705
2024-01-30 18:10:00,410.2400,410.4100,408.0000,408.6800,119139
2024-01-30 18:05:00,408.0000,411.0000,407.9500,410.0200,328622
2024-01-30 18:00:00,403.3600,408.0000,400.0200,408.0000,432979
2024-01-30 17:55:00,398.7600,405.5300,398.5000,403.6200,122741
2024-01-30 17:50:00,399.8800,402.0000,397.2400,398.7600,83549
2024-01-30 17:45:00,400.0000,408.5900,399.5800,399.8000,37557
2024-01-30 17:40:00,400.0000,400.3000,399.1300,400.0000,61959
